Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2011","2011","million USD","124.211807","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2012","2012","million USD","148.229885","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2012","2012","million USD","134.314257","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2013","2013","million USD","214.382328","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2013","2013","million USD","185.555052","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2014","2014","million USD","186.113305","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2014","2014","million USD","160.524704","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2015","2015","million USD","183.550472","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2015","2015","million USD","183.550472","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2016","2016","million USD","103.334206","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2016","2016","million USD","115.234598","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2017","2017","million USD","141.117115","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2017","2017","million USD","149.543281","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2018","2018","million USD","-18.293792","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2018","2018","million USD","-18.783516","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2019","2019","million USD","105.96384","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2019","2019","million USD","104.754242","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2020","2020","million USD","135.918397","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2020","2020","million USD","145.632367","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2021","2021","million USD","207.695946","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2021","2021","million USD","200.218959","E","Estimated value","Data Source: Estimated Value"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","1991","1991","million USD","0.589","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","1991","1991","million USD","1.260381","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","1993","1993","million USD","0.174","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","1993","1993","million USD","0.355612","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","1995","1995","million USD","0.275","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","1995","1995","million USD","0.538977","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","1996","1996","million USD","0.824","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","1996","1996","million USD","1.730173","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","1997","1997","million USD","1.332","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","1997","1997","million USD","3.250461","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","1998","1998","million USD","1.423","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","1998","1998","million USD","3.890646","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","1999","1999","million USD","3.315","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","1999","1999","million USD","10.028801","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2000","2000","million USD","0.253","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2000","2000","million USD","0.740797","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2001","2001","million USD","0.825","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2001","2001","million USD","2.229844","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2002","2002","million USD","0.346","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2002","2002","million USD","0.889284","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2003","2003","million USD","0.5","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2003","2003","million USD","1.203801","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2004","2004","million USD","0.447","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2004","2004","million USD","0.953431","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2005","2005","million USD","2.787","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2005","2005","million USD","5.033039","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2006","2006","million USD","0.363","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2006","2006","million USD","0.525996","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2007","2007","million USD","0.208","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2007","2007","million USD","0.267872","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2008","2008","million USD","1.242","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2008","2008","million USD","1.311849","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2009","2009","million USD","0.504","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2009","2009","million USD","0.644766","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2010","2010","million USD","0.403","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2010","2010","million USD","0.405395","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2011","2011","million USD","8.1","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2011","2011","million USD","6.600515","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2012","2012","million USD","5.6","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2012","2012","million USD","4.340406","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2013","2013","million USD","3.7","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2013","2013","million USD","3.128207","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2014","2014","million USD","11.5","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2014","2014","million USD","10.794473","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2015","2015","million USD","4.2","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2015","2015","million USD","4.2","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2016","2016","million USD","5.3","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2016","2016","million USD","5.63172","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2017","2017","million USD","5.6","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2017","2017","million USD","6.136953","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2018","2018","million USD","3.4","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2018","2018","million USD","3.482968","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2019","2019","million USD","3.2","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2019","2019","million USD","3.228514","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2020","2020","million USD","1.4","X","Figure from international organizations","Data source: UNCTAD"
